Electicity Energy Requirements/Besoins énergétiques pour l'électricité ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category (English) / Catégorie (anglais),Category (French) / Catégorie (français),Fuel (English) / Carburant (anglais),Fuel (French) / Carburant (français),Units (English) / Unités (anglais),Units (French) / Unités (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Steam Generation,Génération de vapeur,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,-,-,-,-,-,0.1,0.1,0.1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Steam Generation,Génération de vapeur,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,12.3,10.8,12,10.1,7.8,4.9,2.8,19.6,15.6,11,7.4,9.1,9.6,14.8,9.3,10.1,10.9,11.9,12.5,12.8,12.6,13.1,13.8,14.4,15,15.5
Steam Generation,Génération de vapeur,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,2.3,2.3,2.2,1.6,1.5,1.5,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Utility Electric Generation,Services publics,Coal/Coke,Charbon/Coke,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,668.7,618.9,617.2,481.9,464,329.7,268.5,160.6,110.7,74.6,75.5,72.8,65.5,62.3,60.4,12.3
Utility Electric Generation,Services publics,Natural Gas,Gaz Naturel,Petajoules,Pétajoules,x,x,x,x,x,x,x,x,x,x,220,216.7,186.7,247,277,363.7,399.3,521.6,503.4,543.7,524.5,596.6,567.1,505.5,491.9,522.1
Utility Electric Generation,Services publics,Nuclear,Nucléaire,Petajoules,Pétajoules,1030,1098,1047.3,1006.6,974.4,996.1,1017.2,1001.5,1091.6,1128.9,1044.5,1051.1,1061.2,1053.8,1081.3,930.1,901,839.8,863.1,820.5,764.8,653.6,686.3,735.6,744.6,735.6
Utility Electric Generation,Services publics,Renewables,Énergie renouvelable,Petajoules,Pétajoules,1226.9,1195.7,1256.4,1291.2,1273.6,1220.5,1310.5,1324.4,1385.9,1364.2,1382,1431.9,1458.9,1432.2,1444.5,1497.3,1524.1,1567.1,1595.5,1617.4,1677.7,1722.1,1762,1793.3,1820.2,1862.4
Utility Electric Generation,Services publics,Refined Petroleum Products,Produits Pétroliers Raffinés,Petajoules,Pétajoules,143.1,110.5,119.4,88.8,90.1,58.8,52.1,50.5,54,62.9,70.2,65.2,62.2,59.8,54.5,48.7,41.6,33.5,35.6,35.6,34.8,33.1,32.8,32.5,31.8,8.9
,

Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indicates content suppressed in order to meet the confidentiality requirements of the Statistics Act.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indicates data truncated due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: no data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indique que le contenu a été supprimé afin de respecter les exigences de confidentialité de la Loi sur la statistique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indique que les données ont été tronquées, parce qu’elles ont été arrondies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: aucune données.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
