Electricity Supply and Demand/Offre et demande d'électricité ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity (English) / Activité (anglais),Activity (French) / Activité (français),Category (English) / Catégorie (anglais),Category (French) / Catégorie (français),Subcategory (English) / Sous-catégorie (anglais),Subcategory (French) / Sous-catégorie (français),Units (English) / Unités (anglais),Units (French) / Unités (français),2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Line losses (derived),Pertes (dérivées),Line losses (derived),Pertes (dérivées),Line losses (derived),Pertes (dérivées),TWh,TW-h,32,32,33,33,32,32,32,32,33,33,32,32,33,33,33,32,33,33,34,34,35,36,36,37,37,38
Out-Flows,Sorties nettes,Exports,Exportations,Exports,Exportations,TWh,TW-h,44,43,50,56,52,44,52,58,62,59,73,73,72,61,60,73,72,68,66,62,65,63,62,60,60,58
Out-Flows,Sorties nettes,Imports,Importations,Imports,Importations,TWh,TW-h,20,24,19,24,18,19,15,11,11,12,11,9,10,13,13,14,14,14,15,15,14,14,14,14,14,14
Required Generation,Production requise,Required Utility Generation,Production Industrielle Requise,Required Utility Generation,Production requise des services publics,TWh,TW-h,60,62,56,59,59,55,58,63,64,70,77,68,69,71,68,69,71,75,76,77,84,85,87,88,90,91
Required Generation,Production requise,Required Industrial Generation,Production Industrielle Requise,Required Industrial Generation,Production industrielle requise,TWh,TW-h,550,538,567,568,544,540,562,565,587,579,576,589,594,583,587,579,581,590,596,600,611,621,630,636,644,653
Total Gross Demand,Demande brute totale,Own Use,Autoconsommation,Commercial,Commercial,TWh,TW-h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Gross Demand,Demande brute totale,Own Use,Autoconsommation,Industrial (incl. O&G),Industriel (incl. P&G),TWh,TW-h,50,51,46,52,50,47,51,54,55,58,60,61,59,60,59,59,62,64,66,67,73,75,76,78,79,81
Total Gross Demand,Demande brute totale,Purchased from grid,Achats du réseau,Commercial,Commercial,TWh,TW-h,124,121,127,132,129,132,135,134,138,142,138,135,148,149,150,150,149,149,149,149,148,148,148,148,148,147
Total Gross Demand,Demande brute totale,Purchased from grid,Achats du réseau,Industrial (incl. O&G),Industriel (incl. P&G),TWh,TW-h,263,264,262,257,237,237,239,238,240,238,239,242,245,246,248,230,239,252,261,270,282,296,304,312,319,329
Total Gross Demand,Demande brute totale,Purchased from grid,Achats du réseau,Residential,Résidentiel,TWh,TW-h,159,154,163,165,166,165,171,171,177,181,171,165,170,172,172,172,172,172,172,172,172,172,173,174,175,176
Total Gross Demand,Demande brute totale,Purchased from grid,Achats du réseau,Transportation,Transport,TWh,TW-h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,5,6,7,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indicates content suppressed in order to meet the confidentiality requirements of the Statistics Act.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indicates data truncated due to rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: no data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nota:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""x"" indique que le contenu a été supprimé afin de respecter les exigences de confidentialité de la Loi sur la statistique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""0"" Indique que les données ont été tronquées, parce qu’elles ont été arrondies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-: aucune données.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
