,,,AESO Forecasts (2017),,,,,,,Actual Outcomes,,,,,
,Year of Commissioning,End-of-life under under 2013 Federal Coal Regulations,Reference and Other Cases,Low Coal-to-gas Conversion,High Coal-to-gas Conversion,End of useful life under 2018 federal coal regulations,"Expected Coal-to-Gas Conversion (AESO, 2021)","Expected Retirement (AESO, 2021)","Expected Retirement (AESO, 2021)",Date of actual transition from coal,Type of transition from coal,,Actual Retirement,,
Battle River #3 (BR3),1969,"Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019",Retired,Retired,Retired,"Dec. 31, 2019",Retirement,,2019,,
Sundance #1 (SD1),1970,"Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019",Retired,Retired,Retired,"Dec. 31, 2017",Retirement,,2017,,
H.R. Milner (HRM),1972,"Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019",Retired,Retired,Retired,"Dec. 31, 2019",Retirement,,2019,,
Sundance #2 (SD2),1973,"Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019","Dec. 31, 2019",Retired,Retired,Retired,"Jul. 31, 2018",Retirement,,2018,,
Battle River #4 (BR4),1975,"Dec. 31, 2025","Dec. 31, 2025","Dec. 31, 2024","Dec. 31, 2025","Dec. 31, 2025",No conversion,"Dec. 31, 2025",2025,"Jan. 11, 2022",Partial Gas Conversion,,,,
Sundance #3 (SD3),1976,"Dec. 31, 2026","Dec. 31, 2020","Dec. 31, 2024","Dec. 31, 2020","Dec. 31, 2026","Apr. 1, 2022","Dec. 31, 2030",Retired,"Jul. 31, 2020",Retirement,,2020,Sundance #3 (SD3),1976
Sundance #4 (SD4),1977,"Dec. 31, 2027","Dec. 31, 2020","Dec. 31, 2025","Dec. 31, 2020","Dec. 31, 2027","Apr. 1, 2021","Dec. 31, 2031",2027,"Apr. 1, 2022",Partial Gas Conversion,,2022,Sundance #4 (SD4),1977
Sundance #5 (SD5),1978,"Dec. 31, 2028","Dec. 31, 2021","Dec. 31, 2025","Dec. 31, 2021","Dec. 31, 2028","Apr. 1, 2022","Dec. 31, 2030",2033,"Nov. 1, 2021",Retired,,2021,Sundance #5 (SD5),1978
Sundance #6 (SD6),1980,"Dec. 31, 2029","Dec. 31, 2021","Dec. 31, 2026","Dec. 31, 2021","Dec. 31, 2029","Apr. 1, 2021","Dec. 31, 2031",2033,"Feb. 1, 2021",Gas Conversion,,,Sundance #6 (SD6),1980
Battle River #5 (BR5),1981,"Dec. 31, 2029","Dec. 31, 2027","Dec. 31, 2026","Dec. 31, 2027","Dec. 31, 2029","Apr. 1, 2021","Dec. 31, 2029",2032,"Nov. 19, 2021",Gas Conversion,,,Battle River #5 (BR5),1981
Keephills #1 (KH1),1983,"Dec. 31, 2029","Dec. 31, 2022","Dec. 31, 2027","Dec. 31, 2022","Dec. 31, 2029","Apr. 1, 2023","Dec. 31, 2032",2029,"Dec. 31, 2021",Partial Gas Conversion,,2021,Keephills #1 (KH1),1983
Keephills #2 (KH2),1984,"Dec. 31, 2029","Dec. 31, 2022","Dec. 31, 2027","Dec. 31, 2022","Dec. 31, 2029","Apr. 1, 2023","Dec. 31, 2032",2034,"Jul. 19, 2021",Gas Conversion,,,Keephills #2 (KH2),1984
Sheerness #1 (SH1),1986,"Dec. 31, 2036","Dec. 31, 2028","Dec. 31, 2028","Dec. 31, 2028","Dec. 31, 2029","Apr. 1, 2023","Dec. 31, 2033",2035,"Mar. 31, 2021",Gas Conversion,,,Sheerness #1 (SH1),1986
Genesee #2 (GN2),1989,"Dec. 31, 2039","Dec. 31, 2029","Dec. 31, 2029","Dec. 31, 2029","Dec. 31, 2029","Apr. 1, 2028","Dec. 31, 2034",2036,"Nov. 15, 2023",Combined cycle conversion,,,Genesee #2 (GN2),1989
Sheerness #2 (SH2),1990,"Dec. 31, 2040","Dec. 31, 2028","Dec. 31, 2028","Dec. 31, 2028","Dec. 31, 2029","Apr. 1, 2023","Dec. 31, 2033",2035,"Apr. 4, 2020",Gas Conversion,,,Sheerness #2 (SH2),1990
Genesee #1 (GN1),1994,"Dec. 31, 2044","Dec. 31, 2029","Dec. 31, 2029","Dec. 31, 2029","Dec. 31, 2029","Apr. 1, 2028","Dec. 31, 2034",2036,"Dec. 15, 2023",Combined cycle conversion,,,Genesee #1 (GN1),1994
Genesee #3 (GN3),2005,"Dec. 31, 2055","Dec. 31, 2030","Dec. 31, 2030","Dec. 31, 2030","Dec. 31, 2029","Apr. 1, 2029","Dec. 31, 2037",2037,"Nov. 4, 2022",Dual-fuel,,,Genesee #3 (GN3),2005
Keephills #3 (KH3),2011,"Dec. 31, 2061","Dec. 31, 2030","Dec. 31, 2030","Dec. 31, 2030","Dec. 31, 2029","Apr. 1, 2024","Dec. 31, 2037",2037,"Dec. 29, 2021",Gas Conversion,,,Keephills #3 (KH3),2011
